H   E
63 263
118 111
98 4
105 215
160 4
95 580
21 172
73 92
266 99
60 48
259 20
7 35
628 0
26 36
16 112
137 119
156 15
237 79
3 17
50 97
38 86
54 2
87 32
67 82
107 11
17 58
86 2
636 78
25 61
25 24
140 33
2750 1075
13 49
414 289
117 49
24 53
922 900
234 66
372 5
188 30
332 58
93 148
71 108
104 3
24 193
36 92
759 497
548 2
118 28
5 6
155 2
62 9
289 102
70 3
768 154
34 16
10 3
174 49
4234 724
206 122
206 126
341 140
107 63
74 59
50 80
770 88
89 95
78 150
168 60
111 51
784 153
84 149
84 148
595 112
145 34
410 154
220 679
270 106
34 211
105 108
364 10
75 149
137 29
892 52
62 1
143 15
419 10
530 340
449 158
215 73
216 73
157 42
220 324
519 7
430 66
82 104
61 30
