Name of protein,Helix,Sheet,Coil,Actual H,Actual E
1A0L_1|BETA-TRYPTASE|Homo sapiens (9606),22,69,153,63,263
1A0P_1|SITE-SPECIFIC RECOMBINASE XERD|Escherichia coli (562),165,19,106,118,111
1A0T_1|SUCROSE-SPECIFIC PORIN|Salmonella typhimurium (90371),74,94,245,98,4
1A1O_3|PEPTIDE LS6 (KPIVQYDNF)|Human immunodeficiency virus 1 (11676),86,61,129,105,215
1A02_4|AP-1 FRAGMENT FOS|Homo sapiens (9606),26,89,186,160,4
1A2O_1|CHEB METHYLESTERASE|Salmonella typhimurium (90371),140,66,143,95,580
1A2W_1|RIBONUCLEASE A|Bos taurus (9913),21,19,84,21,172
"1A03_1|CALCYCLIN (RABBIT, CA2+)|Oryctolagus cuniculus (9986)",65,1,24,73,92
1A3A_1|MANNITOL-SPECIFIC EII|Escherichia coli (83333),69,26,53,266,99
1A4O_1|14-3-3 PROTEIN ZETA|Bos taurus (9913),163,21,61,60,48
1A5F_1|MONOCLONAL ANTI-E-SELECTIN 7A9 ANTIBODY (LIGHT CHAIN)|Mus musculus (10090),29,77,114,259,20
1A14_1|NEURAMINIDASE|Influenza A virus (11320),16,137,235,7,35
1A45_1|GAMMAF CRYSTALLIN|Bos taurus (9913),43,42,88,628,0
1A58_1|CYCLOPHILIN|Brugia malayi (6279),26,57,94,26,36
1AF9_1|TETANUS NEUROTOXIN|Clostridium tetani (1513),53,163,236,16,112
1B9Y_1|PROTEIN (TRANSDUCIN)|Bos taurus (9913),62,19,47,137,119
1BDJ_1|CHEY|Escherichia coli (562),25,28,57,156,15
1BRS_1|BARNASE|Bacillus amyloliquefaciens (1390),62,19,47,237,79
1FYN_1|PHOSPHOTRANSFERASE FYN|Homo sapiens (9606),10,20,32,3,17
1GVU_1|ENDOTHIAPEPSIN|ENDOTHIA PARASITICA (5116),49,107,174,50,97
1HAG_1|PRETHROMBIN 2|Homo sapiens (9606),62,69,164,38,86
1HMK_1|PROTEIN (ALPHA-LACTALBUMIN)|Capra hircus (9925),51,23,50,54,2
1I5D_1|CHEMOTAXIS PROTEIN CHEA|Thermotoga maritima (2336),87,37,67,87,32
1KF9_2|EXTRACELLULAR DOMAIN HUMAN GROWTH HORMONE RECEPTOR (1-238)|Homo sapiens (9606),32,71,135,67,82
"1KMY_1|2,3-DIHYDROXYBIPHENYL 1,2-DIOXYGENASE|Burkholderia xenovorans (266265)",84,81,132,107,11
1L36_1|LYSOZYME|Enterobacteria phage T4 (10665),93,24,47,17,58
1MDC_1|INSECT FATTY ACID BINDING PROTEIN|Manduca sexta (7130),27,49,56,86,2
1MZ4_1|cytochrome c550|Thermosynechococcus elongatus (146786),44,23,70,636,78
1NHU_1|HEPATITIS C VIRUS NS5B RNA-DEPENDENT RNA POLYMERASE|Hepatitis C virus subtype 1b (31647),246,90,242,25,61
1O2I_1|BETA-TRYPSIN|Bos taurus (9913),29,57,137,25,24
1O4Q_1|PROTO-ONCOGENE TYROSINE-PROTEIN KINASE SRC|Homo sapiens (9606),20,33,55,140,33
1ODF_1|HYPOTHETICAL 33.3 KDA PROTEIN IN ADE3-SER2 INTERGENIC REGION|SACCHAROMYCES CEREVISIAE (4932),123,43,124,2750,1075
1Q3G_1|UDP-N-acetylglucosamine 1-carboxyvinyltransferase|Enterobacter cloacae (550),171,78,170,13,49
1RCY_1|RUSTICYANIN|Acidithiobacillus ferrooxidans (920),19,49,83,414,289
1RD8_1|hemagglutinin|Influenza A virus (11320),48,83,204,117,49
